fRouteId,RouteNo,RouteName,getroutebyid,getvarsbyroute,gettimetablebyroute,getstopsbyvar,getpathsbyvar,rev_getstopsbyvar,rev_getpathsbyvar
81,60-1,Bến xe Miền Tây - Bến xe Biên Hòa,81,81,81,1,1,2,2
215,60-2,Đại Học Nông Lâm - Bến Xe Phú Túc,215,215,215,1,1,2,2
82,60-3,Bến xe Miền Đông (cũ) - Khu Công nghiệp Nhơn Trạch,82,82,82,1,1,2,2
381,60-5,Bến xe An Sương - Bến xe Biên Hòa,381,381,381,1,1,2,2
382,60-7,Bến xe buýt Tân Phú - Bến xe Biên Hòa,382,382,382,1,1,2,2
84,61,Bến xe buýt Chợ Lớn - Khu công nghiệp Lê Minh Xuân,84,84,84,1,1,2,2
89,61-7,Bến đò Bình Mỹ - Bến xe Bình Dương,89,89,89,1,1,2,2
91,62,Bến xe buýt Quận 8 -Thới An,91,91,91,181,181,182,182
204,62-1,Bến Xe Chợ Lớn  - Bến xe Tân Trụ,204,204,204,1,1,2,2
92,62-10,Bến xe Chợ Lớn - Thanh Vĩnh Đông,92,92,92,1,1,2,2
93,62-11,Bến Xe Quận 8 - Bến Xe Tân Tập,93,93,93,1,1,2,2
94,62-2,Bến xe buýt Chợ Lớn - Ngã 3 Tân Lân,94,94,94,1,1,2,2
97,62-5,Bến xe An Sương - Bến xe Hậu Nghĩa,97,97,97,1,1,2,2
214,62-6,BX Chợ Lớn - BX Hậu Nghĩa,214,214,214,1,1,2,2
98,62-7,Bến xe Chợ Lớn - Bến xe Đức Huệ,98,98,98,1,1,2,2
99,62-8,Bến xe Chợ Lớn - Bến xe Tân An,99,99,99,1,1,2,2
100,62-9,Bến xe buýt Quận 8 - Thị xã Gò Công,100,100,100,1,1,2,2
380,63-1,Bến xe buýt Tân Phú - Bến xe Tiền Giang,380,380,380,3,3,4,4
101,64,Bến xe Miền Đông - Đầm Sen,101,101,101,201,201,202,202
102,65,Bến Thành - Cách Mạng Tháng 8 - Bến xe An Sương,102,102,102,203,203,204,204
383,67,Bến xe Miền Đông (cũ) - Bến xe Miền Đông (mới),383,383,383,1,1,2,2
104,68,Bến xe buýt Chợ Lớn - Đại học Tài Chính - Marketing,104,104,104,1,1,2,2
105,69,Bến xe buýt Sài Gòn - Khu dân cư Vĩnh Lộc,105,105,105,1,1,2,2
106,70,Tân Quy - Bến Súc,106,106,106,211,211,212,212
107,70-1,Bến xe Củ Chi - Bến Xe Tây Ninh,107,107,107,1,1,2,2
108,70-2,Bến xe Củ Chi - Bến xe Hòa Thành,108,108,108,1,1,2,2
110,70-5,Bố Heo - Lộc Hưng,110,110,110,1,1,2,2
111,71,Bến xe An Sương - Phật Cô Đơn,111,111,111,221,221,222,222
112,72,Bến xe buýt Sài Gòn - Hiệp Phước,112,112,112,223,223,224,224
335,72-1,Sân bay Tân Sơn Nhất – Đường cao tốc – Bến xe Vũng Tàu,335,335,335,3,3,4,4
113,73,Chợ Bình Chánh - Khu công nghiệp Lê Minh Xuân,113,113,113,225,225,226,226
114,74,Bến xe An Sương - Bến xe Củ Chi,114,114,114,227,227,228,228
115,75,Bến Xe Buýt Sài Gòn - Cần Giờ,115,115,115,231,231,232,232
116,76,Long Phước - Suối Tiên - Bến xe Miền Đông mới,116,116,116,1,1,2,2
117,77,Đồng Hòa - Cần Thạnh,117,117,117,235,235,236,236
118,78,Bến xe buýt Thới An - Ngã Ba Giồng - Cầu Lớn,118,118,118,1,1,2,2
119,79,Bến xe Củ Chi - Đền Bến Dược,119,119,119,237,237,238,238
121,81,Bến xe buýt Chợ Lớn - Lê Minh Xuân,121,121,121,1,1,2,2
124,84,Bến xe buýt Chợ Lớn - Tân Túc,124,124,124,247,247,248,248
125,85,Bến xe An Sương- Khu công nghiệp Nhị Xuân,125,125,125,1,1,2,2
127,87,Bến xe Củ Chi - An Nhơn Tây,127,127,127,253,253,254,254
128,88,Bến Thành - Chợ Long Phước,128,128,128,255,255,256,256
129,89,Đại học Nông Lâm - Bến Tàu Hiệp Bình Chánh,129,129,129,1,1,2,2
130,90,Phà Bình Khánh - Cần Thạnh,130,130,130,261,261,262,262
131,91,Bến xe Miền Tây - Chợ nông sản Thủ Đức,131,131,131,261,261,262,262
133,93,Bến Thành - Bến xe Miền Đông mới,133,133,133,1,1,2,2
134,94,Bến xe Chợ Lớn - Bến xe Củ Chi,134,134,134,267,267,268,268
137,99,Chợ Thạnh Mỹ Lợi - Đại học Quốc gia,137,137,137,273,273,274,274
212,D2,Sky Garden – Cresent Mall,212,212,212,1,1,2,2
211,D3,Riverside Resident- Cresent Mall,211,211,211,1,1,2,2
340,D4,Vinhomes Grand Park - Bến xe buýt Sài Gòn,340,340,340,1,1,2,2
