HubId,StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
75,229,QPN 025,Trung tâm hội nghị tiệc cưới White Palace,Trụ dừng,Quận Phú Nhuận,Hồ Văn Huê,106.675025,10.800074,"03, 07, 55"
76,232,QPN 009,Ngã tư Phú Nhuận,Trụ dừng,Quận Phú Nhuận,Hoàng Văn Thụ,106.679354,10.799088,"03, 08, 104, 55, 60-7, 64"
77,233,Q3 031,Công viên Lê Văn Tám,Trụ dừng,Quận 3,Hai Bà Trưng,106.692653,10.787174,"03, 18, 31"
78,234,Q3 030,Chợ Tân Định,Trụ dừng,Quận 3,Hai Bà Trưng,106.690445,10.788972,"03, 31, 36"
79,237,Q1 066,Bệnh viện Nhi Đồng 2,Nhà chờ,Quận 1,Hai Bà Trưng,106.701744,10.779385,"03, 19, 45"
80,242,Q1 092,Nhà Văn Hóa Lao Động,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.692757,10.777097,"05, 06, 14, 28"
81,244,Q3 083,Điện Biên Phủ,Nhà chờ,Quận 3,Pasteur,106.692749,10.783419,"04, 109, 152, 93"
82,246,Q3 101,Nhà thiếu nhi thành phố,Nhà chờ,Quận 3,Võ Thị Sáu,106.689613,10.785583,"04, 109, 152, 30, 91"
83,252,QPN 049,Trung tâm văn hóa Quận Phú Nhuận,Trụ dừng,Quận Phú Nhuận,Nguyễn Văn Trỗi,106.676093,10.795421,"04, 07, 109, 152"
84,256,QTB 099,Cổng trước SVĐ Quân Khu 7,Nhà chờ,Quận Tân Bình,Phan Đình Giót,106.66678,10.800848,"04, 07, 08, 104, 109, 152, 60-7, 63-1, 64"
85,258,QTB 107,Vòng xoay Lăng Cha Cả,Nhà chờ,Quận Tân Bình,Trần Quốc Hoàn,106.662312,10.801365,"04, 08, 103, 104, 109, 148, 152, 50, 59, 60-7, 63-1, 64"
86,259,QTB 110,Siêu thị Maximark Cộng Hòa,Ô sơn,Quận Tân Bình,Cộng Hòa,106.659168,10.801038,"04, 104, 145, 28, 60-7, 63-1"
87,265,QTB 116,ETown,Trụ dừng,Quận Tân Bình,Cộng Hòa,106.640967,10.802571,"04, 104, 145, 28, 60-7, 63-1"
88,266,QTB 117,Thượng Uyển,Nhà chờ,Quận Tân Bình,Cộng Hòa,106.636192,10.806313,"04, 104, 145, 28, 60-7, 63-1"
89,267,QTB 076,Ngã ba Chế Lan Viên,Nhà chờ,Quận Tân Bình,Trường Chinh,106.633349,10.812204,"04, 104, 145, 16, 23, 27, 28, 60-7, 62, 63-1, 65"
90,268,QTB 075,Mũi tàu Cộng Hòa,Trụ dừng,Quận Tân Bình,Trường Chinh,106.634638,10.808314,"04, 104, 145, 16, 23, 27, 28, 60-7, 62, 63-1, 65"
91,271,QTB 079,Khu Công Nghiệp Tân Bình,Nhà chờ,Quận Tân Bình,Trường Chinh,106.630254,10.822452,"04, 104, 13, 145, 23, 27, 32, 41, 62, 65, 94"
92,272,Q12 128,Cầu Tham Lương - Siêu thị Thiên Hòa,Nhà chờ,Quận 12,Trường Chinh,106.625828,10.826957,"04, 104, 145, 23, 27, 41, 62, 65"
93,273,Q12 129,Chùa Vĩnh Phước,Nhà chờ,Quận 12,Trường Chinh,106.624594,10.828627,"04, 104, 13, 145, 27, 41, 65, 94"
94,278,BX84,Bến xe buýt Chợ Lớn - B,Bến xe,Quận 6,Lê Quang Sung,106.65107,10.751185,"101, 145, 23, 61, 62-2, 68, 84"
95,281,Q5 043,Bệnh viện Chợ Rẫy,Nhà chờ,Quận 5,Nguyễn Chí Thanh,106.660128,10.758079,"05, 45, 62, 94"
96,284,Q5 046,Trường Kinh tế Công nghệ,Nhà chờ,Quận 5,Nguyễn Chí Thanh,106.668019,10.759649,"05, 45"
97,285,Q10 023,Trường Khiếm thị Nguyễn Đình Chiểu,Trụ dừng,Quận 10,Ngô Gia Tự,106.669511,10.760582,"05, 150"
98,286,Q10 024,Hòa Hảo,Trụ dừng,Quận 10,Ngô Gia Tự,106.671093,10.762933,"05, 150"
99,287,Q1 088,Phạm Viết Chánh,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.682533,10.766214,"05, 06, 14, 38, 69"
100,288,Q10 020,Chợ Lê Hồng Phong,Nhà chờ,Quận 10,Lê Hồng Phong,106.675444,10.764703,"05, 91"
101,291,Q1 093,Pasteur,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.696434,10.781031,"05, 06, 14, 31"
102,293,Q1 096,Thảo Cầm Viên,Nhà chờ,Quận 1,Nguyễn Thị Minh Khai,106.70459,10.789598,"05, 06, 14, 19, 52"
103,294,Q1 094,Mạc Đỉnh Chi,Trụ dừng,Quận 1,Nguyễn Thị Minh Khai,106.699503,10.784191,"05, 06, 14, 45, 52"
104,297,QBTH 125,Trung tâm Dưỡng Lão,Trụ dừng,Quận Bình Thạnh,Xô Viết Nghệ Tĩnh,106.71057,10.796533,"05, 06, 14, 19, 44, 52"
105,299,QBTH 123,Ngã Ba Hàng Xanh,Biển treo,Quận Bình Thạnh,Xô Viết Nghệ Tĩnh,106.711509,10.803262,"05, 08, 14, 146, 19, 24, 43, 44, 45, 60-3, 67, 91, 93"
