StopId,Code,Name,StopType,Zone,Street,Lng,Lat,Routes
4741,QGV 099,Trung tâm y khoa Dân Sinh,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.635189,10.834823,32
4742,QGV 100,Cây xăng Anh Thư,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.63609,10.836773,32
2611,QGV 101,Nhà sách Phan Huy Ích,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.63734,10.839481,32
2612,QGV 102,Chùa Linh Sơn Hải Hội,Ô sơn,Quận Gò Vấp,Phan Huy Ích,106.638376,10.841415,32
2613,QGV 103,Ngã ba Nguyễn Duy Cung,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.639507,10.843169,32
2614,QGV 084,Trường An Hội,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.641798,10.845039,32
2615,QGV 085,Ngã Ba Cây Trâm,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.643364,10.845824,32
2616,QGV 086,Đường số 53,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.645848,10.847036,32
2617,QGV 087,Công ty Huê Phong,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.648015,10.84809,32
2618,QGV 088,Chợ Thạch Đà,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.651019,10.849481,32
2620,QGV 089,Nhà thờ Thạch Đà,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.654356,10.850756,32
2619,QGV 090,Trung tâm Văn hóa Quận Gò Vấp,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.65765,10.851372,32
4740,QGV 091,Trường Lê Thị Hồng Gấm,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.661314,10.852626,"32, 36"
2621,QGV 092,Nhà thờ Hợp An,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.664447,10.853701,"32, 36"
2624,QGV 063,Nhà thờ Trung Bắc,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.666002,10.849112,32
2625,QGV 064 ,Trường THCS Lý Tự Trọng,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.670632,10.846335,32
2629,QGV 065,Bệnh Viện Gò Vấp,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.672354,10.844692,32
2626,QGV 066,Ngã Ba Lê Hoàng Phái,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.675697,10.842499,32
6834,Q12 0330,Ngọc Lan,Trụ dừng,Quận 12,Hà Huy Giáp,106.68179,10.863242,32
2630,QGV 055,Ngã tư An Nhơn,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.676211,10.8423,32
2627,QGV 056,Bệnh Viện Gò Vấp,Ô sơn,Quận Gò Vấp,Lê Đức Thọ,106.672064,10.845134,32
4737,QGV 057,Trường THCS Lý Tự Trọng,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.669393,10.847321,32
2631,QGV 058,Nhà thờ Trung Bắc,Trụ dừng,Quận Gò Vấp,Lê Đức Thọ,106.666201,10.849165,32
2633,QGV 075,Nhà thờ Hợp An,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.66435,10.853848,"32, 36"
4738,QGV 076,Trường Lê Thị Hồng Gấm,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.661893,10.852969,"32, 36"
2637,QGV 077,Trung tâm Văn hóa Quận Gò Vấp,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.657816,10.851583,32
2638,QGV 078,Nhà thờ Thạch Đà,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.654549,10.850988,32
2635,QGV 079,Chợ Thạch Đà,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.651202,10.849734,32
2636,QGV 080,Công ty Huê Phong,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.648418,10.848448,32
2639,QGV 081,Đường số 53,Biển treo,Quận Gò Vấp,Phạm Văn Chiêu,106.645478,10.84702,32
2643,QGV 082,Ngã ba Cây Trâm,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.643434,10.846025,32
4739,QGV 083,Trường An Hội,Trụ dừng,Quận Gò Vấp,Phạm Văn Chiêu,106.641476,10.84506,32
2641,QGV 093,Ngã ba Nguyễn Duy Cung,Ô sơn,Quận Gò Vấp,Phan Huy Ích,106.639186,10.842958,32
2646,QGV 094,Chùa Linh Sơn Hải Hội,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.637995,10.841056,32
2642,QGV 095,Nhà sách Phan Huy Ích,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.636257,10.837526,32
2610,QGV 096,Trung tâm Y khoa Dân Sinh,Biển treo,Quận Gò Vấp,Phan Huy Ích,106.635109,10.835003,32
2647,QGV 097,Trường Cao đẳng Du Lịch,Trụ dừng,Quận Gò Vấp,Phan Huy Ích,106.633928,10.832505,32
2645,QTB 020,Nhà máy hóa chất Tân Bình,Trụ dừng,Quận Tân Bình,Phan Huy Ích,106.633163,10.83081,32
2648,QTB 021,Nhà thờ Hy Vọng,Trụ dừng,Quận Tân Bình,Phan Huy Ích,106.632103,10.82854,32
2649,QTB 022,Cao ốc Phúc Yên,Trụ dừng,Quận Tân Bình,Phan Huy Ích,106.630997,10.826112,32
2650,QTP 175,Trạm đầu D9,Trụ dừng,Quận Tân Phú,D9,106.625115,10.814469,32
2652,QTP 176,Trạm cuối D9,Trụ dừng,Quận Tân Phú,D9,106.626713,10.812198,32
2654,QTP 074,Trường Đại học Công Nghiệp Thực Phẩm,Ô sơn,Quận Tân Phú,Lê Trọng Tấn,106.628671,10.805859,"32, 41, 69"
2925,QTP 075,Trạm Tân Kỳ Tân Quý,Ô sơn,Quận Tân Phú,Lê Trọng Tấn,106.631981,10.804359,"32, 41, 69"
2657,QTP 077,Trạm café BonJour,Ô sơn,Quận Tân Phú,Tân Kỳ Tân Quý,106.631577,10.803346,"32, 41, 69"
